"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"霞の徘徊者/Murk Strider ","(３)(青)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","欠色（このカードは無色である。）霞の徘徊者が戦場に出たとき、クリーチャー１体を対象とする。あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、そのクリーチャーをオーナーの手札に戻す。","Devoid （This card has no color.）When Murk Strider enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, return target creature to its owner's hand.",3/2,-,,"Chase Stone","コモン, 戦乱のゼンディカー (62/274) ",-
"塵の予言者/Oracle of Dust ","(４)(青)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","欠色（このカードは無色である。）(２),追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置く：カードを１枚引き、その後カードを１枚捨てる。","Devoid （This card has no color.）{2}, Put a card an opponent owns from exile into that player's graveyard: Draw a card, then discard a card.",3/5,-,,"Jason Rainville","コモン, 戦乱のゼンディカー (63/274) ",-
"破滅を導くもの/Ruination Guide ","(２)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）あなたがコントロールする他の無色のクリーチャーは+1/+0の修整を受ける。","Devoid （This card has no color.）Ingest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）Other colorless creatures you control get +1/+0.",3/2,-,,"Mathias Kollros","アンコモン, 戦乱のゼンディカー (64/274) ",-
"回収ドローン/Salvage Drone ","(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）回収ドローンが死亡したとき、あなたはカードを１枚引いてもよい。そうしたなら、カードを１枚捨てる。","Devoid （This card has no color.）Ingest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）When Salvage Drone dies, you may draw a card. If you do, discard a card.",1/1,-,,"Slawomir Maniak","コモン, 戦乱のゼンディカー (65/274) ",-
"呪文萎れ/Spell Shrivel ","(２)(青)","インスタント ","欠色（このカードは無色である。）呪文１つを対象とする。そのコントローラーが(４)を支払わないかぎり、それを打ち消す。その呪文がこれにより打ち消されたなら、それをオーナーの墓地に置く代わりに追放する。","Devoid （This card has no color.）Counter target spell unless its controller pays {4}. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",-,-,,"Jack Wang","コモン, 戦乱のゼンディカー (66/274) ",-
"波に漂うもの/Tide Drifter ","(１)(青)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）あなたがコントロールする他の無色のクリーチャーは+0/+1の修整を受ける。","Devoid （This card has no color.）Other colorless creatures you control get +0/+1.",0/5,-,,Daarken,"アンコモン, 戦乱のゼンディカー (67/274) ",-
"ウラモグの回収者/Ulamog's Reclaimer ","(４)(青)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","欠色（このカードは無色である。）ウラモグの回収者が戦場に出たとき、あなたの墓地からインスタント・カード１枚かソーサリー・カード１枚を対象とする。あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、その対象としたカードをあなたの手札に戻す。","Devoid （This card has no color.）When Ulamog's Reclaimer enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, return target instant or sorcery card from your graveyard to your hand.",2/5,-,,"Svetlin Velinov","アンコモン, 戦乱のゼンディカー (68/274) ",-
"予期/Anticipate （よき） ","(１)(青)","インスタント ","あなたのライブラリーの一番上から３枚のカードを見る。そのうち１枚をあなたの手札に加え、残りをあなたのライブラリーの一番下に望む順番で置く。","Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.",-,-,,"Tyler Jacobson","コモン, 戦乱のゼンディカー (69/274) ","BFZ DTK "
"輝く光波/Brilliant Spectrum ","(３)(青)","ソーサリー ","収斂 ― カードをＸ枚引く。Ｘは、輝く光波を唱えるために支払われたマナの色の総数に等しい。その後、カードを２枚捨てる。","Converge --- Draw X cards, where X is the number of colors of mana spent to cast Brilliant Spectrum. Then discard two cards.",-,-,,"Winona Nelson","コモン, 戦乱のゼンディカー (70/274) ",-
"雲マンタ/Cloud Manta ","(３)(青)","クリーチャー — 魚(Fish) ","飛行",Flying,3/2,-,,"Mike Bierek","コモン, 戦乱のゼンディカー (71/274) ",-
"掴み掛かる水流/Clutch of Currents ","(青)","ソーサリー ","クリーチャー１体を対象とし、それをオーナーの手札に戻す。覚醒３ ― (４)(青)（この呪文を(４)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Return target creature to its owner's hand.Awaken 3 --- {4}{U} （If you cast this spell for {4}{U}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Igor Kieryluk","コモン, 戦乱のゼンディカー (72/274) ",-
"沿岸の発見/Coastal Discovery ","(３)(青)","ソーサリー ","カードを２枚引く。覚醒４ ― (５)(青)（この呪文を(５)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを４個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Draw two cards.Awaken 4 --- {5}{U} （If you cast this spell for {5}{U}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Kieran Yanner","アンコモン, 戦乱のゼンディカー (73/274) ",-
"珊瑚兜の案内人/Coralhelm Guide ","(１)(青)","クリーチャー — マーフォーク(Merfolk)・スカウト(Scout)・同盟者(Ally) ","(４)(青)：クリーチャー１体を対象とする。このターン、それはブロックされない。","{4}{U}: Target creature can't be blocked this turn.",2/1,-,,"Viktor Titov","コモン, 戦乱のゼンディカー (74/274) ",-
"鈍化する脈動/Dampening Pulse ","(３)(青)","エンチャント ","あなたの対戦相手がコントロールするクリーチャーは-1/-0の修整を受ける。","Creatures your opponents control get -1/-0.",-,-,,"Johann Bodin","アンコモン, 戦乱のゼンディカー (75/274) ",-
"払拭/Dispel （ふっしょく） ","(青)","インスタント ","インスタント呪文１つを対象とし、それを打ち消す。","Counter target instant spell.",-,-,,"Chase Stone","コモン, 戦乱のゼンディカー (76/274) ","BFZ RTR WWK "
"影響力の行使/Exert Influence ","(４)(青)","ソーサリー ","収斂 ― クリーチャー１体を対象とする。それのパワーが、影響力の行使を唱えるために支払われたマナの色の総数以下であるなら、それのコントロールを得る。","Converge --- Gain control of target creature if its power is less than or equal to the number of colors of mana spent to cast Exert Influence.",-,-,,"Magali Villeneuve","レア, 戦乱のゼンディカー (77/274) ",-
"タジームの守護者/Guardian of Tazeem ","(３)(青)(青)","クリーチャー — スフィンクス(Sphinx) ","飛行上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、対戦相手がコントロールするクリーチャー１体を対象とし、それをタップする。その土地が島(Island)であるなら、そのクリーチャーはそれのコントローラーの次のアンタップ・ステップにアンタップしない。","FlyingLandfall --- Whenever a land enters the battlefield under your control, tap target creature an opponent controls. If that land is an Island, that creature doesn't untap during its controller's next untap step.",4/5,-,,"Zack Stella","レア, 戦乱のゼンディカー (78/274) ",-
"ハリマーの潮呼び/Halimar Tidecaller ","(２)(青)","クリーチャー — 人間(Human)・ウィザード(Wizard)・同盟者(Ally) ","ハリマーの潮呼びが戦場に出たとき、あなたの墓地から覚醒を持つカード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。あなたがコントロールする土地クリーチャーは飛行を持つ。","When Halimar Tidecaller enters the battlefield, you may return target card with awaken from your graveyard to your hand.Land creatures you control have flying.",2/3,-,,"Magali Villeneuve","アンコモン, 戦乱のゼンディカー (79/274) ",-
"水の帳の分離/Part the Waterveil ","(４)(青)(青)","ソーサリー ","このターンに続いて追加の１ターンを行う。水の帳の分離を追放する。覚醒６ ― (６)(青)(青)(青)（この呪文を(６)(青)(青)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを６個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Take an extra turn after this one. Exile Part the Waterveil.Awaken 6 --- {6}{U}{U}{U} （If you cast this spell for {6}{U}{U}{U}, also put six +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Titus Lunter","神話レア, 戦乱のゼンディカー (80/274) ",-
"プリズム結界/Prism Array ","(４)(青)","エンチャント ","収斂 ― プリズム結界は、これを唱えるために支払われたマナの色１色につき、水晶(crystal)カウンターが１個置かれた状態で戦場に出る。プリズム結界から水晶カウンターを１個取り除く：クリーチャー１体を対象とし、それをタップする。(白)(青)(黒)(赤)(緑)：占術３を行う。（あなたのライブラリーの一番上から３枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）","Converge --- Prism Array enters the battlefield with a crystal counter on it for each color of mana spent to cast it.Remove a crystal counter from Prism Array: Tap target creature.{W}{U}{B}{R}{G}: Scry 3. （Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.）",-,-,,"Philip Straub","レア, 戦乱のゼンディカー (81/274) ",-
"珊瑚兜への撤退/Retreat to Coralhelm ","(２)(青)","エンチャント ","上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、以下から１つを選ぶ。・クリーチャー１体を対象とする。あなたはそれをタップまたはアンタップしてもよい。・占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Landfall --- Whenever a land enters the battlefield under your control, choose one ---• You may tap or untap target creature.• Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"Kieran Yanner","アンコモン, 戦乱のゼンディカー (82/274) ",-
"乱動魔道士の計略/Roilmage's Trick ","(３)(青)","インスタント ","収斂 ― ターン終了時まで、対戦相手がコントロールするクリーチャーは-X/-0の修整を受ける。Ｘは、乱動魔道士の計略を唱えるために支払われたマナの色の総数に等しい。カードを１枚引く。","Converge --- Creatures your opponents control get -X/-0 until end of turn, where X is the number of colors of mana spent to cast Roilmage's Trick.Draw a card.",-,-,,"Johann Bodin","コモン, 戦乱のゼンディカー (83/274) ",-
"氷の猛進/Rush of Ice ","(青)","ソーサリー ","クリーチャー１体を対象とし、それをタップする。それは、そのコントローラーの次のアンタップ・ステップにアンタップしない。覚醒３ ― (４)(青)（この呪文を(４)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Tap target creature. It doesn't untap during its controller's next untap step.Awaken 3 --- {4}{U} （If you cast this spell for {4}{U}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Deruchenko Alexander","コモン, 戦乱のゼンディカー (84/274) ",-
"風への散乱/Scatter to the Winds ","(１)(青)(青)","インスタント ","呪文１つを対象とし、それを打ち消す。覚醒３ ― (４)(青)(青)（この呪文を(４)(青)(青)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Counter target spell.Awaken 3 --- {4}{U}{U} （If you cast this spell for {4}{U}{U}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Raymond Swanland","レア, 戦乱のゼンディカー (85/274) ",-
"巻き締め付け/Tightening Coils ","(１)(青)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは-6/-0の修整を受けるとともに飛行を失う。","Enchant creatureEnchanted creature gets -6/-0 and loses flying.",-,-,,"Tyler Jacobson","コモン, 戦乱のゼンディカー (86/274) ",-
"ウギンの洞察力/Ugin's Insight ","(３)(青)(青)","ソーサリー ","占術Ｘを行う。Ｘは、あなたがコントロールするパーマネントの点数で見たマナ・コストの中で最も大きいものに等しい。その後、カードを３枚引く。","Scry X, where X is the highest converted mana cost among permanents you control, then draw three cards.",-,-,,"Tyler Jacobson","レア, 戦乱のゼンディカー (87/274) ",-
"波翼の精霊/Wave-Wing Elemental ","(５)(青)","クリーチャー — エレメンタル(Elemental) ","飛行上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、波翼の精霊は+2/+2の修整を受ける。","FlyingLandfall --- Whenever a land enters the battlefield under your control, Wave-Wing Elemental gets +2/+2 until end of turn.",3/4,-,,"John Severin Brassell","コモン, 戦乱のゼンディカー (88/274) ",-
"風乗りの巡回兵/Windrider Patrol ","(３)(青)(青)","クリーチャー — マーフォーク(Merfolk)・ウィザード(Wizard) ","飛行風乗りの巡回兵がプレイヤー１人に戦闘ダメージを与えるたび、占術２を行う。（あなたのライブラリーの一番上から２枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）","FlyingWhenever Windrider Patrol deals combat damage to a player, scry 2. （Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.）",4/3,-,,"Svetlin Velinov","アンコモン, 戦乱のゼンディカー (89/274) ",-
"完全無視/Complete Disregard ","(２)(黒)","インスタント ","欠色（このカードは無色である。）パワーが３以下のクリーチャー１体を対象とし、それを追放する。","Devoid （This card has no color.）Exile target creature with power 3 or less.",-,-,,"Peter Mohrbacher","コモン, 戦乱のゼンディカー (90/274) ",-
"淘汰ドローン/Culling Drone ","(１)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）","Devoid （This card has no color.）Ingest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）",2/2,-,,"Alejandro Mirabal","コモン, 戦乱のゼンディカー (91/274) ",-
"威圧ドローン/Dominator Drone ","(２)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）威圧ドローンが戦場に出たとき、あなたが他の無色のクリーチャーをコントロールしている場合、各対戦相手はそれぞれ２点のライフを失う。","Devoid （This card has no color.）Ingest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）When Dominator Drone enters the battlefield, if you control another colorless creature, each opponent loses 2 life.",3/2,-,,"James Zapata","コモン, 戦乱のゼンディカー (92/274) ",-
"墓の出産/Grave Birthing ","(２)(黒)","インスタント ","欠色（このカードは無色である。）対戦相手１人を対象とする。そのプレイヤーは自分の墓地からカードを１枚追放する。あなたは無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。カードを１枚引く。","Devoid （This card has no color.）Target opponent exiles a card from his or her graveyard. You put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""Draw a card.",-,-,,"Craig J Spearing","コモン, 戦乱のゼンディカー (93/274) ",-
"荒廃の一掴み/Grip of Desolation ","(４)(黒)(黒)","インスタント ","欠色（このカードは無色である。）クリーチャー１体と土地１つを対象とし、それらを追放する。","Devoid （This card has no color.）Exile target creature and target land.",-,-,,"Lius Lasahido","アンコモン, 戦乱のゼンディカー (94/274) ",-
"精神を掻き寄せるもの/Mind Raker ","(３)(黒)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","欠色（このカードは無色である。）精神を掻き寄せるものが戦場に出たとき、あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、各対戦相手はそれぞれカードを１枚捨てる。","Devoid （This card has no color.）When Mind Raker enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, each opponent discards a card.",3/3,-,,"Lius Lasahido","コモン, 戦乱のゼンディカー (95/274) ",-
"音無く飛ぶもの/Silent Skimmer ","(３)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）飛行音無く飛ぶものが攻撃するたび、防御プレイヤーは２点のライフを失う。","Devoid （This card has no color.）FlyingWhenever Silent Skimmer attacks, defending player loses 2 life.",0/4,-,,"Alejandro Mirabal","コモン, 戦乱のゼンディカー (96/274) ",-
"ハヤバイ/Skitterskin ","(３)(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）ハヤバイではブロックできない。(１)(黒)：ハヤバイを再生する。この能力は、あなたが他の無色のクリーチャーをコントロールしているときにのみ起動できる。","Devoid （This card has no color.）Skitterskin can't block.{1}{B}: Regenerate Skitterskin. Activate this ability only if you control another colorless creature.",4/3,-,,"Michael Komarck","アンコモン, 戦乱のゼンディカー (97/274) ",-
"泥這い/Sludge Crawler ","(黒)","クリーチャー — エルドラージ(Eldrazi)・ドローン(Drone) ","欠色（このカードは無色である。）嚥下（このクリーチャーがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分のライブラリーの一番上のカードを追放する。）(２)：ターン終了時まで、泥這いは+1/+1の修整を受ける。","Devoid （This card has no color.）Ingest （Whenever this creature deals combat damage to a player, that player exiles the top card of his or her library.）{2}: Sludge Crawler gets +1/+1 until end of turn.",1/1,-,,"Johann Bodin","コモン, 戦乱のゼンディカー (98/274) ",-
"息詰まる忌まわしきもの/Smothering Abomination ","(２)(黒)(黒)","クリーチャー — エルドラージ(Eldrazi) ","欠色（このカードは無色である。）飛行あなたのアップキープの開始時に、クリーチャーを１体生け贄に捧げる。あなたがクリーチャーを１体生け贄に捧げるたび、カードを１枚引く。","Devoid （This card has no color.）FlyingAt the beginning of your upkeep, sacrifice a creature.Whenever you sacrifice a creature, draw a card.",4/3,-,,"Aleksi Briclot","レア, 戦乱のゼンディカー (99/274) ",-
"大群の殺到/Swarm Surge ","(２)(黒)","ソーサリー ","欠色（このカードは無色である。）ターン終了時まで、あなたがコントロールするクリーチャーは+2/+0の修整を受ける。ターン終了時まで、あなたがコントロールする無色のクリーチャーはさらに先制攻撃を得る。","Devoid （This card has no color.）Creatures you control get +2/+0 until end of turn. Colorless creatures you control also gain first strike until end of turn.",-,-,,"Svetlin Velinov","コモン, 戦乱のゼンディカー (100/274) ",-
"精神背信/Transgress the Mind ","(１)(黒)","ソーサリー ","欠色（このカードは無色である。）プレイヤー１人を対象とする。そのプレイヤーは自分の手札を公開する。あなたはその中から点数で見たマナ・コストが３以上のカードを１枚選び、そのカードを追放する。","Devoid （This card has no color.）Target player reveals his or her hand. You choose a card from it with converted mana cost 3 or greater and exile that card.",-,-,,"Cynthia Sheppard","アンコモン, 戦乱のゼンディカー (101/274) ",-
"不毛の地の絞殺者/Wasteland Strangler ","(２)(黒)","クリーチャー — エルドラージ(Eldrazi)・昇華者(Processor) ","欠色（このカードは無色である。）不毛の地の絞殺者が戦場に出たとき、クリーチャー１体を対象とする。あなたは追放領域から対戦相手がオーナーであるカードを１枚そのプレイヤーの墓地に置いてもよい。そうしたなら、ターン終了時まで、そのクリーチャーは-3/-3の修整を受ける。","Devoid （This card has no color.）When Wasteland Strangler enters the battlefield, you may put a card an opponent owns from exile into that player's graveyard. If you do, target creature gets -3/-3 until end of turn.",3/2,-,,"Jack Wang","レア, 戦乱のゼンディカー (102/274) ",-
"祭壇の刈り取り/Altar's Reap （さいだんのかりとり） ","(１)(黒)","インスタント ","祭壇の刈り取りを唱えるための追加コストとして、クリーチャーを１体生け贄に捧げる。カードを２枚引く。","As an additional cost to cast Altar's Reap, sacrifice a creature.Draw two cards.",-,-,,"Tyler Jacobson","コモン, 戦乱のゼンディカー (103/274) ","BFZ M14 ISD CNS "
"血の絆の吸血鬼/Bloodbond Vampire ","(２)(黒)(黒)","クリーチャー — 吸血鬼(Vampire)・シャーマン(Shaman)・同盟者(Ally) ","あなたがライフを得るたび、血の絆の吸血鬼の上に+1/+1カウンターを１個置く。","Whenever you gain life, put a +1/+1 counter on Bloodbond Vampire.",3/3,-,,"Anna Steinbauer","アンコモン, 戦乱のゼンディカー (104/274) ",-
"骨の粉砕/Bone Splinters （ほねのふんさい） ","(黒)","ソーサリー ","骨の粉砕を唱えるための追加コストとして、クリーチャーを１体生け贄に捧げる。クリーチャー１体を対象とし、それを破壊する。","As an additional cost to cast Bone Splinters, sacrifice a creature.Destroy target creature.",-,-,,"Deruchenko Alexander","コモン, 戦乱のゼンディカー (105/274) ","BFZ AVR ALA MM2 DDN "
"捕らわれの宿主/Carrier Thrall ","(１)(黒)","クリーチャー — 吸血鬼(Vampire) ","捕らわれの宿主が死亡したとき、無色の1/1のエルドラージ(Eldrazi)・末裔(Scion)クリーチャー・トークンを１体戦場に出す。それは「このクリーチャーを生け贄に捧げる：あなたのマナ・プールに(１)を加える。」を持つ。","When Carrier Thrall dies, put a 1/1 colorless Eldrazi Scion creature token onto the battlefield. It has ""Sacrifice this creature: Add {1} to your mana pool.""",2/1,-,,"Lius Lasahido","アンコモン, 戦乱のゼンディカー (106/274) ",-
"果敢な血王/Defiant Bloodlord ","(５)(黒)(黒)","クリーチャー — 吸血鬼(Vampire) ","飛行あなたがライフを得るたび、対戦相手１人を対象とする。そのプレイヤーはその点数に等しい点数のライフを失う。","FlyingWhenever you gain life, target opponent loses that much life.",4/5,-,,"Craig J Spearing","レア, 戦乱のゼンディカー (107/274) ",-
"悪魔のわしづかみ/Demon's Grasp ","(４)(黒)","ソーサリー ","クリーチャー１体を対象とする。ターン終了時まで、それは-5/-5の修整を受ける。","Target creature gets -5/-5 until end of turn.",-,-,,"David Gaillet","コモン, 戦乱のゼンディカー (108/274) ",-
"マラキールの解放者、ドラーナ/Drana, Liberator of Malakir ","(１)(黒)(黒)","伝説のクリーチャー — 吸血鬼(Vampire)・同盟者(Ally) ","飛行、先制攻撃マラキールの解放者、ドラーナがプレイヤー１人に戦闘ダメージを与えるたび、あなたがコントロールする各攻撃クリーチャーの上に、+1/+1カウンターをそれぞれ１個置く。","Flying, first strikeWhenever Drana, Liberator of Malakir deals combat damage to a player, put a +1/+1 counter on each attacking creature you control.",2/3,-,,"Mike Bierek","神話レア, 戦乱のゼンディカー (109/274) ",-
"従順な復活/Dutiful Return （じゅうじゅんなふっかつ） ","(３)(黒)","ソーサリー ","あなたの墓地にあるクリーチャー・カードを最大２枚まで対象とし、それらをあなたの手札に戻す。","Return up to two target creature cards from your graveyard to your hand.",-,-,,"Anna Steinbauer","コモン, 戦乱のゼンディカー (110/274) ","BFZ KTK "
"間欠泉の忍び寄り/Geyserfield Stalker ","(４)(黒)","クリーチャー — エレメンタル(Elemental) ","威迫（このクリーチャーは２体以上のクリーチャーによってしかブロックされない。）上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、間欠泉の忍び寄りは+2/+2の修整を受ける。","Menace （This creature can't be blocked except by two or more creatures.）Landfall --- Whenever a land enters the battlefield under your control, Geyserfield Stalker gets +2/+2 until end of turn.",3/2,-,,"Deruchenko Alexander","コモン, 戦乱のゼンディカー (111/274) ",-
"グール・ドラズの監視者/Guul Draz Overseer ","(４)(黒)(黒)","クリーチャー — 吸血鬼(Vampire) ","飛行上陸 ― 土地が１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、あなたがコントロールする他のクリーチャーは+1/+0の修整を受ける。その土地が沼(Swamp)であるなら、代わりに、ターン終了時までそれらのクリーチャーは+2/+0の修整を受ける。","FlyingLandfall --- Whenever a land enters the battlefield under your control, other creatures you control get +1/+0 until end of turn. If that land is a Swamp, those creatures get +2/+0 until end of turn instead.",3/4,-,,"Karl Kopinski","レア, 戦乱のゼンディカー (112/274) ",-
"ハグラの名射手/Hagra Sharpshooter ","(２)(黒)","クリーチャー — 人間(Human)・暗殺者(Assassin)・同盟者(Ally) ","(４)(黒)：クリーチャー１体を対象とする。ターン終了時まで、それは-1/-1の修整を受ける。","{4}{B}: Target creature gets -1/-1 until end of turn.",2/2,-,,"Josu Hernaiz","アンコモン, 戦乱のゼンディカー (113/274) ",-
"カラストリアの癒し手/Kalastria Healer ","(１)(黒)","クリーチャー — 吸血鬼(Vampire)・クレリック(Cleric)・同盟者(Ally) ","結集 ― カラストリアの癒し手か他の同盟者(Ally)が１体あなたのコントロール下で戦場に出るたび、各対戦相手はそれぞれ１点のライフを失い、あなたは１点のライフを得る。","Rally --- Whenever Kalastria Healer or another Ally enters the battlefield under your control, each opponent loses 1 life and you gain 1 life.",1/2,-,,"Anthony Palumbo","コモン, 戦乱のゼンディカー (114/274) ",-
"カラストリアの夜警/Kalastria Nightwatch ","(４)(黒)","クリーチャー — 吸血鬼(Vampire)・戦士(Warrior)・同盟者(Ally) ","あなたがライフを得るたび、ターン終了時まで、カラストリアの夜警は飛行を得る。","Whenever you gain life, Kalastria Nightwatch gains flying until end of turn.",4/5,-,,"Jama Jurabaev","コモン, 戦乱のゼンディカー (115/274) ",-
"マラキールの使い魔/Malakir Familiar ","(２)(黒)","クリーチャー — コウモリ(Bat) ","飛行、接死あなたがライフを得るたび、ターン終了時まで、マラキールの使い魔は+1/+1の修整を受ける。","Flying, deathtouchWhenever you gain life, Malakir Familiar gets +1/+1 until end of turn.",2/1,-,,"Alejandro Mirabal","アンコモン, 戦乱のゼンディカー (116/274) ",-
"ぬかるみの敵意/Mire's Malice ","(３)(黒)","ソーサリー ","対戦相手１人を対象とする。そのプレイヤーはカードを２枚捨てる。覚醒３ ― (５)(黒)（この呪文を(５)(黒)で唱えたなら、加えて、あなたがコントロールする土地１つを対象とする。それの上に+1/+1カウンターを３個置く。それは速攻を持つ0/0のエレメンタル(Elemental)・クリーチャーになる。それは土地でもある。）","Target opponent discards two cards.Awaken 3 --- {5}{B} （If you cast this spell for {5}{B}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.）",-,-,,"Jakub Kasper","コモン, 戦乱のゼンディカー (117/274) ",-
"ニルカーナの暗殺者/Nirkana Assassin ","(２)(黒)","クリーチャー — 吸血鬼(Vampire)・暗殺者(Assassin)・同盟者(Ally) ","あなたがライフを得るたび、ターン終了時まで、ニルカーナの暗殺者は接死を得る。（これが何らかのダメージをクリーチャーに与えたら、それだけで破壊する。）","Whenever you gain life, Nirkana Assassin gains deathtouch until end of turn. （Any amount of damage it deals to a creature is enough to destroy it.）",2/3,-,,"Viktor Titov","コモン, 戦乱のゼンディカー (118/274) ",-
"灯の再覚醒、オブ・ニクシリス/Ob Nixilis Reignited ","(３)(黒)(黒)","プレインズウォーカー — ニクシリス(Nixilis) ","[+1]：あなたはカードを１枚引き、１点のライフを失う。[-3]：クリーチャー１体を対象とし、それを破壊する。[-8]：対戦相手１人を対象とする。そのプレイヤーは「プレイヤー１人がカードを１枚引くたび、あなたは２点のライフを失う。」を持つ紋章を得る。","+1: You draw a card and you lose 1 life.-3: Destroy target creature.-8: Target opponent gets an emblem with ""Whenever a player draws a card, you lose 2 life.""",-,5,,"Chris Rahn","神話レア, 戦乱のゼンディカー (119/274) ",-
