"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"サヒーリの芸術/Saheeli's Artistry （さひーりのげいじゅつ） ","(４)(青)(青)","ソーサリー ","以下から１つまたは両方を選ぶ。・アーティファクト１つを対象とし、それのコピーであるトークンを１つ生成する。・クリーチャー１体を対象とし、それの他のタイプに加えてアーティファクトであることを除きそれのコピーであるトークンを１体生成する。","Choose one or both ---• Create a token that's a copy of target artifact.• Create a token that's a copy of target creature, except it's an artifact in addition to its other types.",-,-,,"Kieran Yanner","レア, カラデシュ (62/264) ",-
"抜き取り検査/Select for Inspection （ぬきとりけんさ） ","(青)","インスタント ","タップ状態のクリーチャー１体を対象とし、それをオーナーの手札に戻す。占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Return target tapped creature to its owner's hand. Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"James Paick","コモン, カラデシュ (63/264) ",-
"巧みな交渉術/Shrewd Negotiation （たくみなこうしょうじゅつ） ","(４)(青)","ソーサリー ","あなたがコントロールするアーティファクト１つと、あなたがコントロールしていないアーティファクト１つかクリーチャー１体を対象とし、それらのコントロールを交換する。","Exchange control of target artifact you control and target artifact or creature you don't control.",-,-,,"Slawomir Maniak","アンコモン, カラデシュ (64/264) ",-
"テゼレットの野望/Tezzeret's Ambition （てぜれっとのやぼう） ","(３)(青)(青)","ソーサリー ","カードを３枚引く。あなたがアーティファクトをコントロールしていないなら、カード１枚を捨てる。","Draw three cards. If you control no artifacts, discard a card.",-,-,,"Tyler Jacobson","コモン, カラデシュ (65/264) ",-
"亢進する亀/Thriving Turtle （こうしんするかめ） ","(青)","クリーチャー — 海亀(Turtle) ","亢進する亀が戦場に出たとき、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。亢進する亀が攻撃するたび、あなたは(Ｅ)(Ｅ)を支払ってもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。","When Thriving Turtle enters the battlefield, you get {E}{E} (two energy counters).Whenever Thriving Turtle attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it.",0/3,-,,"Jeff Simpson","コモン, カラデシュ (66/264) ",-
"奔流の機械巨人/Torrential Gearhulk （ほんりゅうのきかいきょじん） ","(４)(青)(青)","アーティファクト・クリーチャー — 構築物(Construct) ","瞬速奔流の機械巨人が戦場に出たとき、あなたの墓地からインスタント・カード１枚を対象とする。あなたはそれを、そのマナ・コストを支払うことなく唱えてもよい。このターンにそのカードがあなたの墓地に置かれるなら、代わりにそれを追放する。","FlashWhen Torrential Gearhulk enters the battlefield, you may cast target instant card from your graveyard without paying its mana cost. If that card would be put into your graveyard this turn, exile it instead.",5/6,-,,"Svetlin Velinov","神話レア, カラデシュ (67/264) ",-
"ヴィダルケンの刃の達人/Vedalken Blademaster （う゛ぃだるけんのやいばのたつじん） ","(２)(青)","クリーチャー — ヴィダルケン(Vedalken)・兵士(Soldier) ","果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）","Prowess （Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.）",2/3,-,,"Lake Hurwitz","コモン, カラデシュ (68/264) ",-
"速接会の翼鍛冶/Weldfast Wingsmith （そくせつかいのつばさかじ） ","(３)(青)","クリーチャー — 人間(Human)・工匠(Artificer) ","アーティファクトが１つあなたのコントロール下で戦場に出るたび、ターン終了時まで、速接会の翼鍛冶は飛行を得る。","Whenever an artifact enters the battlefield under your control, Weldfast Wingsmith gains flying until end of turn.",3/3,-,,"Dan Scott","コモン, カラデシュ (69/264) ",-
"風のドレイク/Wind Drake （かぜのどれいく） ","(２)(青)","クリーチャー — ドレイク(Drake) ","飛行",Flying,2/2,-,,"Todd Lockwood","コモン, カラデシュ (70/264) ","KLD DGM M13 M10 9ED 8ED 7ED 6ED TMP POR S99 _BR "
"霊基体の匪賊/Aetherborn Marauder （れいきたいのひぞく） ","(３)(黒)","クリーチャー — 霊気体(Aetherborn)・ならず者(Rogue) ","飛行、絆魂霊基体の匪賊が戦場に出たとき、あなたがコントロールする他のパーマネントの上から望む数の+1/+1カウンターを霊基体の匪賊の上に移動する。","Flying, lifelinkWhen Aetherborn Marauder enters the battlefield, move any number of +1/+1 counters from other permanents you control onto Aetherborn Marauder.",2/2,-,,"Kieran Yanner","アンコモン, カラデシュ (71/264) ",-
"霊基体の野心家/Ambitious Aetherborn （れいきたいのやしんか） ","(４)(黒)","クリーチャー — 霊気体(Aetherborn)・工匠(Artificer) ","製造１（このクリーチャーが戦場に出たとき、これの上に+1/+1カウンターを１個置くか、無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを１体生成する。）","Fabricate 1 （When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.）",4/3,-,,"Josu Hernaiz","コモン, カラデシュ (72/264) ",-
"陰謀の悪魔/Demon of Dark Schemes （いんぼうのあくま） ","(３)(黒)(黒)(黒)","クリーチャー — デーモン(Demon) ","飛行陰謀の悪魔が戦場に出たとき、ターン終了時まで、他のすべてのクリーチャーは-2/-2の修整を受ける。他のクリーチャーが１体死亡するたび、あなたは(Ｅ)（エネルギー・カウンター１個）を得る。(２)(黒),(Ｅ)(Ｅ)(Ｅ)(Ｅ)を支払う：墓地からクリーチャー・カード１枚を対象とし、それをあなたのコントロール下でタップ状態で戦場に出す。","FlyingWhen Demon of Dark Schemes enters the battlefield, all other creatures get -2/-2 until end of turn.Whenever another creature dies, you get {E} (an energy counter).{2}{B}, Pay {E}{E}{E}{E}: Put target creature card from a graveyard onto the battlefield under your control tapped.",5/5,-,,Daarken,"神話レア, カラデシュ (73/264) ",-
"ドゥーンドの調査員/Dhund Operative （どぅーんどのちょうさいん） ","(１)(黒)","クリーチャー — 人間(Human)・ならず者(Rogue) ","あなたがアーティファクトをコントロールしているかぎり、ドゥーンドの調査員は+1/+0の修整を受けるとともに接死を持つ。（これが何らかのダメージをクリーチャーに与えたら、それだけで破壊する。）","As long as you control an artifact, Dhund Operative gets +1/+0 and has deathtouch. （Any amount of damage it deals to a creature is enough to destroy it.）",2/2,-,,"Magali Villeneuve","コモン, カラデシュ (74/264) ",-
"魔性の教示者/Diabolic Tutor （ましょうのきょうじしゃ） ","(２)(黒)(黒)","ソーサリー ","あなたのライブラリーからカード１枚を探し、それをあなたの手札に加える。その後あなたのライブラリーを切り直す。","Search your library for a card and put that card into your hand. Then shuffle your library.",-,-,,"Mark Winters","アンコモン, カラデシュ (75/264) ","KLD M14 M12 M11 M10 10E 9ED 8ED ODY CMD CN2 "
"短命/Die Young （たんめい） ","(１)(黒)","ソーサリー ","クリーチャー１体を対象とする。あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。その後あなたは望む数の(Ｅ)を支払ってもよい。ターン終了時まで、そのクリーチャーは、これにより支払われた(Ｅ)１個につき-1/-1の修整を受ける。","Choose target creature. You get {E}{E} (two energy counters), then you may pay any amount of {E}. The creature gets -1/-1 until end of turn for each {E} paid this way.",-,-,,"Ryan Yee","コモン, カラデシュ (76/264) ",-
"ダッカラのゴミあさり/Dukhara Scavenger （だっからのごみあさり） ","(５)(黒)","クリーチャー — クロコダイル(Crocodile) ","ダッカラのゴミあさりが戦場に出たとき、あなたの墓地からアーティファクト・カード１枚かクリーチャー・カード１枚を対象とする。あなたはそれをあなたのライブラリーの一番上に置いてもよい。","When Dukhara Scavenger enters the battlefield, you may put target artifact or creature card from your graveyard on top of your library.",4/6,-,,"Sidharth Chaturvedi","コモン, カラデシュ (77/264) ",-
"競争排除/Eliminate the Competition （きょうそうはいじょ） ","(４)(黒)","ソーサリー ","競争排除を唱えるための追加コストとして、クリーチャーＸ体を生け贄に捧げる。クリーチャーＸ体を対象とし、それらを破壊する。","As an additional cost to cast Eliminate the Competition, sacrifice X creatures.Destroy X target creatures.",-,-,,"Joseph Meehan","レア, カラデシュ (78/264) ",-
"エンブロールの暴れ者/Embraal Bruiser （えんぶろーるのあばれもの） ","(１)(黒)","クリーチャー — 人間(Human)・戦士(Warrior) ","エンブロールの暴れ者はタップ状態で戦場に出る。あなたがアーティファクトをコントロールしているかぎり、エンブロールの暴れ者は威迫を持つ。","Embraal Bruiser enters the battlefield tapped.Embraal Bruiser has menace as long as you control an artifact.",3/1,-,,"Sidharth Chaturvedi","アンコモン, カラデシュ (79/264) ",-
"本質の摘出/Essence Extraction （ほんしつのてきしゅつ） ","(１)(黒)(黒)","インスタント ","クリーチャー１体を対象とする。本質の摘出はそれに３点のダメージを与える。あなたは３点のライフを得る。","Essence Extraction deals 3 damage to target creature and you gain 3 life.",-,-,,"Min Yum","アンコモン, カラデシュ (80/264) ",-
"偶然の発見/Fortuitous Find （ぐうぜんのはっけん） ","(２)(黒)","ソーサリー ","以下から１つまたは両方を選ぶ。・あなたの墓地からアーティファクト・カード１枚を対象とし、それをあなたの手札に戻す。・あなたの墓地からクリーチャー・カード１枚を対象とし、それをあなたの手札に戻す。","Choose one or both ---• Return target artifact card from your graveyard to your hand.• Return target creature card from your graveyard to your hand.",-,-,,"Tomasz Jedruszek","コモン, カラデシュ (81/264) ",-
"鋳造所のコウモリ/Foundry Screecher （ちゅうぞうしょのこうもり） ","(２)(黒)","クリーチャー — コウモリ(Bat) ","飛行あなたがアーティファクトをコントロールしているかぎり、鋳造所のコウモリは+1/+0の修整を受ける。","FlyingFoundry Screecher gets +1/+0 as long as you control an artifact.",2/1,-,,"Dan Scott","コモン, カラデシュ (82/264) ",-
"透彫虫の群棲/Fretwork Colony （すかりぼりむしのぐんせい） ","(１)(黒)","クリーチャー — 昆虫(Insect) ","透彫虫の群棲ではブロックできない。あなたのアップキープの開始時に、透彫虫の群棲の上に+1/+1カウンターを１個置き、あなたは１点のライフを失う。","Fretwork Colony can't block.At the beginning of your upkeep, put a +1/+1 counter on Fretwork Colony and you lose 1 life.",1/1,-,,"Christopher Burdett","アンコモン, カラデシュ (83/264) ",-
"豪華の王、ゴンティ/Gonti, Lord of Luxury （ごうかのおうごんてぃ） ","(２)(黒)(黒)","伝説のクリーチャー — 霊気体(Aetherborn)・ならず者(Rogue) ","接死豪華の王、ゴンティが戦場に出たとき、対戦相手１人を対象とする。そのプレイヤーのライブラリーの一番上からカードを４枚見て、そのうち１枚を裏向きに追放し、その後残りをそのライブラリーの一番下に無作為の順番で置く。そのカードが追放され続けているかぎり、あなたはそれを見てもよく、あなたはそれを唱えてもよく、あなたはそれを唱えるために任意のマナを望むタイプのマナであるかのように支払ってもよい。","DeathtouchWhen Gonti, Lord of Luxury enters the battlefield, look at the top four cards of target opponent's library, exile one of them face down, then put the rest on the bottom of that library in a random order. For as long as that card remains exiled, you may look at it, you may cast it, and you may spend mana as though it were mana of any type to cast it.",2/3,-,,Daarken,"レア, カラデシュ (84/264) ",-
"過酷な精査/Harsh Scrutiny （かこくなせいさ） ","(黒)","ソーサリー ","対戦相手１人を対象とする。そのプレイヤーは自分の手札を公開する。あなたはその中からクリーチャー・カード１枚を選ぶ。そのプレイヤーはそのカードを捨てる。占術１を行う。","Target opponent reveals his or her hand. You choose a creature card from it. That player discards that card. Scry 1.",-,-,,"Vincent Proce","アンコモン, カラデシュ (85/264) ",-
"不法仲買人/Lawless Broker （ふほうなかがいにん） ","(２)(黒)","クリーチャー — 霊気体(Aetherborn)・ならず者(Rogue) ","不法仲買人が死亡したとき、あなたがコントロールするクリーチャー１体を対象とし、それの上に+1/+1カウンターを１個置く。","When Lawless Broker dies, put a +1/+1 counter on target creature you control.",3/2,-,,"Darek Zabrocki","コモン, カラデシュ (86/264) ",-
"放埒/Live Fast （ほうらつ） ","(２)(黒)","ソーサリー ","あなたはカードを２枚引き、２点のライフを失い、(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。","You draw two cards, lose 2 life, and get {E}{E} (two energy counters).",-,-,,"Ryan Yee","コモン, カラデシュ (87/264) ",-
"失われた遺産/Lost Legacy （うしなわれたいさん） ","(１)(黒)(黒)","ソーサリー ","プレイヤー１人を対象とする。アーティファクトでも土地でもないカード名１つを指定する。そのプレイヤーの墓地と手札とライブラリーから、望む枚数のその名前を持つカードを探し、それらを追放する。そのプレイヤーは自分のライブラリーを切り直し、その後そのプレイヤーはこれにより手札から追放されたカード１枚につきカードを１枚引く。","Name a nonartifact, nonland card. Search target player's graveyard, hand, and library for any number of cards with that name and exile them. That player shuffles his or her library, then draws a card for each card exiled from hand this way.",-,-,,"Greg Opalinski","レア, カラデシュ (88/264) ",-
"陳腐化/Make Obsolete （ちんぷか） ","(２)(黒)","インスタント ","ターン終了時まで、対戦相手がコントロールするクリーチャーは-1/-1の修整を受ける。","Creatures your opponents control get -1/-1 until end of turn.",-,-,,"Darek Zabrocki","アンコモン, カラデシュ (89/264) ",-
"マリオネットの達人/Marionette Master （まりおねっとのたつじん） ","(４)(黒)(黒)","クリーチャー — 人間(Human)・工匠(Artificer) ","製造３（このクリーチャーが戦場に出たとき、これの上に+1/+1カウンターを３個置くか、無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを３体生成する。）あなたがコントロールするアーティファクトが１つ戦場から墓地に置かれるたび、対戦相手１人を対象とする。そのプレイヤーはマリオネットの達人のパワーに等しい点数のライフを失う。","Fabricate 3 （When this creature enters the battlefield, put three +1/+1 counters on it or create three 1/1 colorless Servo artifact creature tokens.）Whenever an artifact you control is put into a graveyard from the battlefield, target opponent loses life equal to Marionette Master's power.",1/3,-,,"James Ryman","レア, カラデシュ (90/264) ",-
"襲拳会の部隊/Maulfist Squad （しゅうけんかいのぶたい） ","(３)(黒)","クリーチャー — 人間(Human)・工匠(Artificer) ","威迫製造１（このクリーチャーが戦場に出たとき、これの上に+1/+1カウンターを１個置くか、無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを１体生成する。）","MenaceFabricate 1 （When this creature enters the battlefield, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.）",3/1,-,,"Matt Stewart","コモン, カラデシュ (91/264) ",-
"夜更かし/Midnight Oil （よふかし） ","(２)(黒)(黒)","エンチャント ","夜更かしは(hour)・カウンターが７個置かれた状態で戦場に出る。あなたのドロー・ステップの開始時に、あなたはカードを追加で１枚引き、夜更かしの上から・カウンターを２個取り除く。あなたの手札の上限は、夜更かしの上に置かれている・カウンターの数に等しい。あなたがカードを１枚捨てるたび、あなたは１点のライフを失う。","Midnight Oil enters the battlefield with seven hour counters on it.At the beginning of your draw step, draw an additional card and remove two hour counters from Midnight Oil.Your maximum hand size is equal to the number of hour counters on Midnight Oil.Whenever you discard a card, you lose 1 life.",-,-,,"Daniel Ljunggren","レア, カラデシュ (92/264) ",-
"精神腐敗/Mind Rot （せいしんふはい） ","(２)(黒)","ソーサリー ","プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。","Target player discards two cards.",-,-,,"Seb McKinnon","コモン, カラデシュ (93/264) ","KLD DTK M15 M14 RTR M13 M12 M11 M10 10E 9ED 8ED 7ED P02 POR S99 "
"病的な好奇心/Morbid Curiosity （びょうてきなこうきしん） ","(１)(黒)(黒)","ソーサリー ","病的な好奇心を唱えるための追加コストとして、アーティファクト１つかクリーチャー１体を生け贄に捧げる。その生け贄に捧げたパーマネントの点数で見たマナ・コストに等しい枚数のカードを引く。","As an additional cost to cast Morbid Curiosity, sacrifice an artifact or creature.Draw cards equal to the converted mana cost of the sacrificed permanent.",-,-,,"Kieran Yanner","アンコモン, カラデシュ (94/264) ",-
"夜市の見張り/Night Market Lookout （やいちのみはり） ","(黒)","クリーチャー — 人間(Human)・ならず者(Rogue) ","夜市の見張りがタップ状態になるたび、各対戦相手はそれぞれ１点のライフを失い、あなたは１点のライフを得る。","Whenever Night Market Lookout becomes tapped, each opponent loses 1 life and you gain 1 life.",1/1,-,,"Nils Hamm","コモン, カラデシュ (95/264) ",-
"害悪の機械巨人/Noxious Gearhulk （がいあくのきかいきょじん） ","(４)(黒)(黒)","アーティファクト・クリーチャー — 構築物(Construct) ","威迫害悪の機械巨人が戦場に出たとき、他のクリーチャー１体を対象とする。あなたはそれを破壊してもよい。これによりクリーチャーが破壊されたなら、あなたはそれのタフネスに等しい点数のライフを得る。","MenaceWhen Noxious Gearhulk enters the battlefield, you may destroy another target creature. If a creature is destroyed this way, you gain life equal to its toughness.",5/4,-,,"Lius Lasahido","神話レア, カラデシュ (96/264) ",-
"楕円競走の無謀者/Ovalchase Daredevil （だえんきょうそうのむぼうしゃ） ","(３)(黒)","クリーチャー — 人間(Human)・操縦士(Pilot) ","アーティファクトが１つあなたのコントロール下で戦場に出るたび、あなたはあなたの墓地から楕円競走の無謀者を自分の手札に戻してもよい。","Whenever an artifact enters the battlefield under your control, you may return Ovalchase Daredevil from your graveyard to your hand.",4/2,-,,"Winona Nelson","アンコモン, カラデシュ (97/264) ",-
"プラカタクラブの用心棒/Prakhata Club Security （ぷらかたくらぶのようじんぼう） ","(３)(黒)","クリーチャー — 霊気体(Aetherborn)・戦士(Warrior) ",,,3/4,-,,"Igor Kieryluk","コモン, カラデシュ (98/264) ",-
"活力の奔出/Rush of Vitality （かつりょくのほんしゅつ） ","(１)(黒)","インスタント ","クリーチャー１体を対象とする。ターン終了時まで、それは+1/+0の修整を受けるとともに絆魂と破壊不能を得る。（そのクリーチャーがダメージを与えると、さらにそれのコントローラーはその点数分のライフを得る。ダメージや「破壊」と書かれた効果では、それは破壊されない。）","Target creature gets +1/+0 and gains lifelink and indestructible until end of turn. （Damage dealt by that creature also causes its controller to gain that much life, and it can't be destroyed by damage or effects that say ""destroy.""）",-,-,,"Lindsey Look","コモン, カラデシュ (99/264) ",-
"隠然たる襲撃/Subtle Strike （いんぜんたるしゅうげき） ","(１)(黒)","インスタント ","以下から１つまたは両方を選ぶ。・クリーチャー１体を対象とする。ターン終了時まで、それは-1/-1の修整を受ける。・クリーチャー１体を対象とし、それの上に+1/+1カウンターを１個置く。","Choose one or both ---• Target creature gets -1/-1 until end of turn.• Put a +1/+1 counter on target creature.",-,-,,"David Palumbo","コモン, カラデシュ (100/264) ",-
"組織の密売人/Syndicate Trafficker （そしきのみつばいにん） ","(１)(黒)","クリーチャー — 霊気体(Aetherborn)・ならず者(Rogue) ","(１),アーティファクト１つを生け贄に捧げる：組織の密売人の上に+1/+1カウンターを１個置く。ターン終了時まで、これは破壊不能を得る。","{1}, Sacrifice an artifact: Put a +1/+1 counter on Syndicate Trafficker. It gains indestructible until end of turn.",3/1,-,,"Tony Foti","レア, カラデシュ (101/264) ",-
"亢進するネズミ/Thriving Rats （こうしんするねずみ） ","(１)(黒)","クリーチャー — ネズミ(Rat) ","亢進するネズミが戦場に出たとき、あなたは(Ｅ)(Ｅ)（エネルギー・カウンター２個）を得る。亢進するネズミが攻撃するたび、あなたは(Ｅ)(Ｅ)を支払ってもよい。そうしたなら、これの上に+1/+1カウンターを１個置く。","When Thriving Rats enters the battlefield, you get {E}{E} (two energy counters).Whenever Thriving Rats attacks, you may pay {E}{E}. If you do, put a +1/+1 counter on it.",1/2,-,,"Tom Babbey","コモン, カラデシュ (102/264) ",-
"当然の結論/Tidy Conclusion （とうぜんのけつろん） ","(３)(黒)(黒)","インスタント ","クリーチャー１体を対象とし、それを破壊する。あなたはあなたがコントロールするアーティファクト１つにつき１点のライフを得る。","Destroy target creature. You gain 1 life for each artifact you control.",-,-,,"Bastien L. Deharme","コモン, カラデシュ (103/264) ",-
"奥の手/Underhanded Designs （おくのて） ","(１)(黒)","エンチャント ","アーティファクトが１つあなたのコントロール下で戦場に出るたび、あなたは(１)を支払ってもよい。そうしたなら、各対戦相手はそれぞれ１点のライフを失い、あなたは１点のライフを得る。(１)(黒),奥の手を生け贄に捧げる：クリーチャー１体を対象とし、それを破壊する。この能力は、あなたがアーティファクトを２つ以上コントロールしているときにのみ起動できる。","Whenever an artifact enters the battlefield under your control, you may pay {1}. If you do, each opponent loses 1 life and you gain 1 life.{1}{B}, Sacrifice Underhanded Designs: Destroy target creature. Activate this ability only if you control two or more artifacts.",-,-,,"Anastasia Ovchinnikova","アンコモン, カラデシュ (104/264) ",-
"武器作り狂/Weaponcraft Enthusiast （ぶきづくりきょう） ","(２)(黒)","クリーチャー — 霊気体(Aetherborn)・工匠(Artificer) ","製造２（このクリーチャーが戦場に出たとき、これの上に+1/+1カウンターを２個置くか、無色の1/1の霊気装置(Servo)アーティファクト・クリーチャー・トークンを２体生成する。）","Fabricate 2 （When this creature enters the battlefield, put two +1/+1 counters on it or create two 1/1 colorless Servo artifact creature tokens.）",0/1,-,,"Mike Bierek","アンコモン, カラデシュ (105/264) ",-
"改革派の霊気砲手/Aethertorch Renegade （かいかくはのれいきほうしゅ） ","(２)(赤)","クリーチャー — 人間(Human)・ならず者(Rogue) ","改革派の霊気砲手が戦場に出たとき、あなたは(Ｅ)(Ｅ)(Ｅ)(Ｅ)（エネルギー・カウンター４個）を得る。(Ｔ),(Ｅ)(Ｅ)を支払う：クリーチャー１体を対象とする。改革派の霊気砲手はそれに１点のダメージを与える。(Ｔ),(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)(Ｅ)を支払う：プレイヤー１人を対象とする。改革派の霊気砲手はそのプレイヤーに６点のダメージを与える。","When Aethertorch Renegade enters the battlefield, you get {E}{E}{E}{E} (four energy counters).{T}, Pay {E}{E}: Aethertorch Renegade deals 1 damage to target creature.{T}, Pay {E}{E}{E}{E}{E}{E}{E}{E}: Aethertorch Renegade deals 6 damage to target player.",1/2,-,,"Johann Bodin","アンコモン, カラデシュ (106/264) ",-
"真鍮の災い魔/Brazen Scourge （しんちゅうのわざわいま） ","(１)(赤)(赤)","クリーチャー — グレムリン(Gremlin) ","速攻",Haste,3/3,-,,"Kev Walker","アンコモン, カラデシュ (107/264) ",-
"撃砕確約/Built to Smash （げきさいかくやく） ",(赤),"インスタント ","攻撃クリーチャー１体を対象とする。ターン終了時まで、それは+3/+3の修整を受ける。それがアーティファクト・クリーチャーであるなら、ターン終了時まで、それはトランプルを得る。","Target attacking creature gets +3/+3 until end of turn. If it's an artifact creature, it gains trample until end of turn.",-,-,,"Svetlin Velinov","コモン, カラデシュ (108/264) ",-
"安堵の再会/Cathartic Reunion （あんどのさいかい） ","(１)(赤)","ソーサリー ","安堵の再会を唱えるための追加コストとして、カード２枚を捨てる。カードを３枚引く。","As an additional cost to cast Cathartic Reunion, discard two cards.Draw three cards.",-,-,,"Howard Lyon","コモン, カラデシュ (109/264) ",-
"反逆の先導者、チャンドラ/Chandra, Torch of Defiance （はんぎゃくのせんどうしゃちゃんどら） ","(２)(赤)(赤)","プレインズウォーカー — チャンドラ(Chandra) ","[+1]：あなたのライブラリーの一番上のカードを追放する。あなたはそのカードを唱えてもよい。そうしないなら、反逆の先導者、チャンドラは各対戦相手にそれぞれ２点のダメージを与える。[+1]：あなたのマナ・プールに(赤)(赤)を加える。[-3]：クリーチャー１体を対象とする。反逆の先導者、チャンドラはそれに４点のダメージを与える。[-7]：あなたは「あなたが呪文を１つ唱えるたび、クリーチャー１体かプレイヤー１人を対象とする。この紋章はそれに５点のダメージを与える。」を持つ紋章を得る。","+1: Exile the top card of your library. You may cast that card. If you don't, Chandra, Torch of Defiance deals 2 damage to each opponent.+1: Add {R}{R} to your mana pool.-3: Chandra, Torch of Defiance deals 4 damage to target creature.-7: You get an emblem with ""Whenever you cast a spell, this emblem deals 5 damage to target creature or player.""",-,4,,"Magali Villeneuve","神話レア, カラデシュ (110/264) ",-
"チャンドラの螺旋炎/Chandra's Pyrohelix （ちゃんどらのらせんえん） ","(１)(赤)","インスタント ","クリーチャーやプレイヤー、１つか２つを対象とする。チャンドラの螺旋炎はそれらに、２点のダメージを望むように分割して与える。","Chandra's Pyrohelix deals 2 damage divided as you choose among one or two target creatures and/or players.",-,-,,"Kieran Yanner","コモン, カラデシュ (111/264) ",-
"焼却の機械巨人/Combustible Gearhulk （しょうきゃくのきかいきょじん） ","(４)(赤)(赤)","アーティファクト・クリーチャー — 構築物(Construct) ","先制攻撃焼却の機械巨人が戦場に出たとき、対戦相手１人を対象とする。そのプレイヤーは「あなたはカードを３枚引く。」を選んでもよい。そうしないなら、あなたのライブラリーの一番上からカードを３枚あなたの墓地に置き、その後焼却の機械巨人はそのプレイヤーに、それらのカードの点数で見たマナ・コストの合計に等しい点数のダメージを与える。","First strikeWhen Combustible Gearhulk enters the battlefield, target opponent may have you draw three cards. If the player doesn't, put the top three cards of your library into your graveyard, then Combustible Gearhulk deals damage to that player equal to the total converted mana cost of those cards.",6/6,-,,Daarken,"神話レア, カラデシュ (112/264) ",-
"破砕/Demolish （はさい） ","(３)(赤)","ソーサリー ","アーティファクト１つか土地１つを対象とし、それを破壊する。","Destroy target artifact or land.",-,-,,"Steven Belledin","コモン, カラデシュ (113/264) ","KLD ORI THS M14 AVR M11 ZEN 10E 9ED 8ED ODY "
"宿命の決着/Fateful Showdown （しゅくめいのけっちゃく） ","(２)(赤)(赤)","インスタント ","クリーチャー１体かプレイヤー１人を対象とする。宿命の決着はそれに、あなたの手札にあるカードの枚数に等しい点数のダメージを与える。あなたの手札にあるカードをすべて捨て、その後その枚数に等しい枚数のカードを引く。","Fateful Showdown deals damage to target creature or player equal to the number of cards in your hand. Discard all the cards in your hand, then draw that many cards.",-,-,,"Chris Rallis","レア, カラデシュ (114/264) ",-
"猛然たる報復/Furious Reprisal （もうぜんたるほうふく） ","(３)(赤)","ソーサリー ","クリーチャーやプレイヤー、合計２つを対象とする。猛然たる報復はそれらに、それぞれ２点のダメージを与える。","Furious Reprisal deals 2 damage to each of two target creatures and/or players.",-,-,,"Svetlin Velinov","アンコモン, カラデシュ (115/264) ",-
"巨人の光景/Giant Spectacle （きょじんのこうけい） ","(１)(赤)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは+2/+1の修整を受けるとともに威迫を持つ。","Enchant creatureEnchanted creature gets +2/+1 and has menace.",-,-,,"Johann Bodin","コモン, カラデシュ (116/264) ",-
"蓄霊稲妻/Harnessed Lightning （ちくれいいなずま） ","(１)(赤)","インスタント ","クリーチャー１体を対象とする。あなたは(Ｅ)(Ｅ)(Ｅ)（エネルギー・カウンター３個）を得る。その後、あなたは望む数の(Ｅ)を支払ってもよい。蓄霊稲妻はそのクリーチャーに、その支払った数に等しい点数のダメージを与える。","Choose target creature. You get {E}{E}{E} (three energy counters), then you may pay any amount of {E}. Harnessed Lightning deals that much damage to that creature.",-,-,,"Chris Rallis","アンコモン, カラデシュ (117/264) ",-
"乗っ取り/Hijack （のっとり） ","(１)(赤)(赤)","ソーサリー ","アーティファクト１つかクリーチャー１体を対象とする。ターン終了時まで、それのコントロールを得る。それをアンタップする。ターン終了時まで、それは速攻を得る。","Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn.",-,-,,"Victor Adame Minguez","コモン, カラデシュ (118/264) ",-
"焼夷式破壊工作/Incendiary Sabotage （しょういしきはかいこうさく） ","(２)(赤)(赤)","インスタント ","焼夷式破壊工作を唱えるための追加コストとして、アーティファクト１つを生け贄に捧げる。焼夷式破壊工作は各クリーチャーにそれぞれ３点のダメージを与える。","As an additional cost to cast Incendiary Sabotage, sacrifice an artifact.Incendiary Sabotage deals 3 damage to each creature.",-,-,,"Ben Maier","アンコモン, カラデシュ (119/264) ",-
