"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"圧倒的な波/Whelming Wave （あっとうてきななみ） ","(２)(青)(青)","ソーサリー ","クラーケン(Kraken)、リバイアサン(Leviathan)、タコ(Octopus)、海蛇(Serpent)以外のすべてのクリーチャーをオーナーの手札に戻す。","Return all creatures to their owners' hands except for Krakens, Leviathans, Octopuses, and Serpents.",-,-,,"Slawomir Maniak","レア, 神々の軍勢 (57/165) ",-
"決断の元型/Archetype of Finality （けつだんのげんけい） ","(４)(黒)(黒)","クリーチャー・エンチャント — ゴルゴン(Gorgon) ","あなたがコントロールするクリーチャーは接死を持つ。あなたの対戦相手がコントロールするクリーチャーは接死を失うとともに、接死を持つことも得ることもできない。","Creatures you control have deathtouch.Creatures your opponents control lose deathtouch and can't have or gain deathtouch.",2/3,-,,"Chris Rahn","アンコモン, 神々の軍勢 (58/165) ",-
"アショクの心酔者/Ashiok's Adept （あしょくのしんすいしゃ） ","(２)(黒)","クリーチャー — 人間(Human)・ウィザード(Wizard) ","英雄的 ― あなたがアショクの心酔者を対象とする呪文を１つ唱えるたび、各対戦相手はそれぞれカードを１枚捨てる。","Heroic --- Whenever you cast a spell that targets Ashiok's Adept, each opponent discards a card.",1/3,-,,"Karla Ortiz","アンコモン, 神々の軍勢 (59/165) ",-
"窒息死/Asphyxiate （ちっそくし） ","(１)(黒)(黒)","ソーサリー ","アンタップ状態のクリーチャー１体を対象とし、それを破壊する。","Destroy target untapped creature.",-,-,,"Kev Walker","コモン, 神々の軍勢 (60/165) ",-
"胆汁病/Bile Blight （たんじゅうびょう） ","(黒)(黒)","インスタント ","クリーチャー１体を対象とする。それと、そのクリーチャーと同じ名前を持つ他のすべてのクリーチャーは、ターン終了時まで-3/-3の修整を受ける。","Target creature and all other creatures with the same name as that creature get -3/-3 until end of turn.",-,-,,"Vincent Proce","アンコモン, 神々の軍勢 (61/165) ",-
"オドゥノスの黒樫/Black Oak of Odunos （おどぅのすのくろかし） ","(２)(黒)","クリーチャー — ゾンビ(Zombie)・ツリーフォーク(Treefolk) ","防衛(黒),あなたがコントロールするアンタップ状態の他のクリーチャーを１体タップする：オドゥノスの黒樫はターン終了時まで+1/+1の修整を受ける。","Defender{B}, Tap another untapped creature you control: Black Oak of Odunos gets +1/+1 until end of turn.",0/5,-,,"Chris Rahn","アンコモン, 神々の軍勢 (62/165) ",-
"彷徨える魂の勇者/Champion of Stray Souls （さまよえるたましいのゆうしゃ） ","(４)(黒)(黒)","クリーチャー — スケルトン(Skeleton)・戦士(Warrior) ","(３)(黒)(黒),(Ｔ),他のクリーチャーをＸ体生け贄に捧げる：あなたの墓地にあるクリーチャー・カードＸ枚を対象とし、それらを戦場に戻す。(５)(黒)(黒)：あなたの墓地にある彷徨える魂の勇者をあなたのライブラリーの一番上に置く。","{3}{B}{B}, {T}, Sacrifice X other creatures: Return X target creature cards from your graveyard to the battlefield.{5}{B}{B}: Put Champion of Stray Souls on top of your library from your graveyard.",4/4,-,,"Aleksi Briclot","神話レア, 神々の軍勢 (63/165) ",-
"エレボスの催促/Claim of Erebos （えれぼすのさいそく） ","(１)(黒)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは「(１)(黒),(Ｔ)：プレイヤー１人を対象とする。そのプレイヤーは２点のライフを失う。」を持つ。","Enchant creatureEnchanted creature has ""{1}{B}, {T}: Target player loses 2 life.""",-,-,,"Zack Stella","コモン, 神々の軍勢 (64/165) ",-
"悲哀まみれ/Drown in Sorrow （ひあいまみれ） ","(１)(黒)(黒)","ソーサリー ","すべてのクリーチャーは、ターン終了時まで-2/-2の修整を受ける。占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","All creatures get -2/-2 until end of turn. Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"Noah Bradley","アンコモン, 神々の軍勢 (65/165) ",-
"希望喰らい/Eater of Hope （きぼうくらい） ","(５)(黒)(黒)","クリーチャー — デーモン(Demon) ","飛行(黒),他のクリーチャーを１体生け贄に捧げる：希望喰らいを再生する。(２)(黒),他のクリーチャーを２体生け贄に捧げる：クリーチャー１体を対象とし、それを破壊する。","Flying{B}, Sacrifice another creature: Regenerate Eater of Hope.{2}{B}, Sacrifice two other creatures: Destroy target creature.",6/4,-,,"Peter Mohrbacher","レア, 神々の軍勢 (66/165) ",-
"目抉り/Eye Gouge （めえぐり） ","(黒)","インスタント ","クリーチャー１体を対象とする。それはターン終了時まで-1/-1の修整を受ける。それがサイクロプス(Cyclops)であるなら、それを破壊する。","Target creature gets -1/-1 until end of turn. If it's a Cyclops, destroy it.",-,-,,"Tyler Jacobson","コモン, 神々の軍勢 (67/165) ",-
"運命をほぐす者/Fate Unraveler （うんめいをほぐすもの） ","(３)(黒)","クリーチャー・エンチャント — ハッグ(Hag) ","対戦相手１人がカードを１枚引くたび、運命をほぐす者はそのプレイヤーに１点のダメージを与える。","Whenever an opponent draws a card, Fate Unraveler deals 1 damage to that player.",3/4,-,,"David Palumbo","レア, 神々の軍勢 (68/165) ",-
"宿命的復活/Fated Return （しゅくめいてきふっかつ） ","(４)(黒)(黒)(黒)","インスタント ","いずれかの墓地にあるクリーチャー・カード１枚を対象とし、それをあなたのコントロール下で戦場に出す。それは破壊不能を得る。あなたのターンであるなら、占術２を行う。（あなたのライブラリーの一番上から２枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）","Put target creature card from a graveyard onto the battlefield under your control. It gains indestructible. If it's your turn, scry 2. （Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.）",-,-,,"Peter Mohrbacher","レア, 神々の軍勢 (69/165) ",-
"悪魔の皮の喧嘩屋/Felhide Brawler （あくまのかわのけんかや） ","(１)(黒)","クリーチャー — ミノタウルス(Minotaur) ","あなたが他のミノタウルス(Minotaur)をコントロールしていないかぎり、悪魔の皮の喧嘩屋ではブロックできない。","Felhide Brawler can't block unless you control another Minotaur.",2/2,-,,"Nils Hamm","コモン, 神々の軍勢 (70/165) ",-
"絶望の偽母/Forlorn Pseudamma （ぜつぼうのにせはは） ","(３)(黒)","クリーチャー — ゾンビ(Zombie) ","威嚇神啓 ― 絶望の偽母がアンタップ状態になるたび、あなたは(２)(黒)を支払ってもよい。そうしたなら、あなたは黒の2/2のゾンビ(Zombie)・クリーチャー・エンチャント・トークンを１体戦場に出す。","Intimidate （This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.）Inspired --- Whenever Forlorn Pseudamma becomes untapped, you may pay {2}{B}. If you do, put a 2/2 black Zombie enchantment creature token onto the battlefield.",2/1,-,,"Winona Nelson","アンコモン, 神々の軍勢 (71/165) ",-
"見捨てられし流れ者/Forsaken Drifters （みすてられしながれもの） ","(３)(黒)","クリーチャー — ゾンビ(Zombie) ","見捨てられし流れ者が死亡したとき、あなたのライブラリーの一番上から４枚のカードをあなたの墓地に置く。","When Forsaken Drifters dies, put the top four cards of your library into your graveyard.",4/2,-,,"Min Yum","コモン, 神々の軍勢 (72/165) ",-
"金箔付け/Gild （きんぱくつけ） ","(３)(黒)","ソーサリー ","クリーチャー１体を対象とし、それを追放する。無色の《金/Gold》という名前のアーティファクト・トークンを１つ戦場に出す。それは「このアーティファクトを生け贄に捧げる：あなたのマナ・プールに好きな色１色のマナ１点を加える。」を持つ。","Exile target creature. Put a colorless artifact token named Gold onto the battlefield. It has ""Sacrifice this artifact: Add one mana of any color to your mana pool.""",-,-,,"Richard Wright","レア, 神々の軍勢 (73/165) ",-
"忌まわしい変身/Grisly Transformation （いまわしいへんしん） ","(２)(黒)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）忌まわしい変身が戦場に出たとき、カードを１枚引く。エンチャントされているクリーチャーは威嚇を持つ。（それはアーティファクト・クリーチャーかそれと共通の色を持つクリーチャー以外にはブロックされない。）","Enchant creatureWhen Grisly Transformation enters the battlefield, draw a card.Enchanted creature has intimidate. （It can't be blocked except by artifact creatures and/or creatures that share a color with it.）",-,-,,"Tyler Jacobson","コモン, 神々の軍勢 (74/165) ",-
"責め苦の伝令/Herald of Torment （せめくのでんれい） ","(１)(黒)(黒)","クリーチャー・エンチャント — デーモン(Demon) ","授与(３)(黒)(黒)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）飛行あなたのアップキープの開始時に、あなたは１点のライフを失う。エンチャントされているクリーチャーは+3/+3の修整を受けるとともに飛行を持つ。","Bestow {3}{B}{B} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）FlyingAt the beginning of your upkeep, you lose 1 life.Enchanted creature gets +3/+3 and has flying.",3/3,-,,"Vance Kovacs","レア, 神々の軍勢 (75/165) ",-
"湿原霧のタイタン/Marshmist Titan （しつげんぎりのたいたん） ","(６)(黒)","クリーチャー — 巨人(Giant) ","湿原霧のタイタンを唱えるためのコストは(Ｘ)少なくなる。Ｘはあなたの黒への信心である。（あなたの黒への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる(黒)の数に等しい。）","Marshmist Titan costs {X} less to cast, where X is your devotion to black. （Each {B} in the mana costs of permanents you control counts toward your devotion to black.）",4/5,-,,"Volkan Baga","コモン, 神々の軍勢 (76/165) ",-
"屍噛み/Necrobite （しかばねかみ） ","(２)(黒)","インスタント ","クリーチャー１体を対象とする。それはターン終了時まで接死を得る。それを再生する。（このターン、次にこのクリーチャーが破壊される場合、それは破壊されない。代わりに、それをタップし、それに与えられているダメージをすべて取り除き、それを戦闘から取り除く。接死を持つクリーチャーが何らかのダメージをクリーチャーに与えたら、それだけで破壊する。）","Target creature gains deathtouch until end of turn. Regenerate it. （The next time that creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat. Any amount of damage a creature with deathtouch deals to a creature is enough to destroy it.）",-,-,,"Igor Kieryluk","コモン, 神々の軍勢 (77/165) ","M15 BNG AVR "
"ニクス生まれの幻霊/Nyxborn Eidolon （にくすうまれのげんれい） ","(１)(黒)","クリーチャー・エンチャント — スピリット(Spirit) ","授与(４)(黒)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）エンチャントされているクリーチャーは+2/+1の修整を受ける。","Bestow {4}{B} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Enchanted creature gets +2/+1.",2/1,-,,"Nils Hamm","コモン, 神々の軍勢 (78/165) ",-
"オドゥノス河の底さらい/Odunos River Trawler （おどぅのすがわのそこさらい） ","(２)(黒)","クリーチャー — ゾンビ(Zombie) ","オドゥノス河の底さらいが戦場に出たとき、あなたの墓地にあるクリーチャー・エンチャント・カード１枚を対象とし、それをあなたの手札に戻す。(白),オドゥノス河の底さらいを生け贄に捧げる：あなたの墓地にあるクリーチャー・エンチャント・カード１枚を対象とし、それをあなたの手札に戻す。","When Odunos River Trawler enters the battlefield, return target enchantment creature card from your graveyard to your hand.{W}, Sacrifice Odunos River Trawler: Return target enchantment creature card from your graveyard to your hand.",2/2,-,,"Seb McKinnon","アンコモン, 神々の軍勢 (79/165) ",-
"苦痛の予見者/Pain Seer （くつうのよけんしゃ） ","(１)(黒)","クリーチャー — 人間(Human)・ウィザード(Wizard) ","神啓 ― 苦痛の予見者がアンタップ状態になるたび、あなたのライブラリーの一番上のカードを公開し、そのカードをあなたの手札に加える。あなたはそのカードの点数で見たマナ・コストに等しい点数のライフを失う。","Inspired --- Whenever Pain Seer becomes untapped, reveal the top card of your library and put that card into your hand. You lose life equal to that card's converted mana cost.",2/2,-,,"Tyler Jacobson","レア, 神々の軍勢 (80/165) ",-
"血占術/Sanguimancy （けっせんじゅつ） ","(４)(黒)","ソーサリー ","あなたはカードをＸ枚引き、Ｘ点のライフを失う。Ｘはあなたの黒への信心である。（あなたの黒への信心は、あなたがコントロールするパーマネントのマナ・コストに含まれる(黒)の数に等しい。）","You draw X cards and you lose X life, where X is your devotion to black. （Each {B} in the mana costs of permanents you control counts toward your devotion to black.）",-,-,,"Dave Kendall","アンコモン, 神々の軍勢 (81/165) ",-
"ティマレットの召使い/Servant of Tymaret （てぃまれっとのめしつかい） ","(２)(黒)","クリーチャー — ゾンビ(Zombie) ","神啓 ― ティマレットの召使いがアンタップ状態になるたび、各対戦相手はそれぞれ１点のライフを失う。あなたはこれにより失われたライフに等しい点数のライフを得る。(２)(黒)：ティマレットの召使いを再生する。","Inspired --- Whenever Servant of Tymaret becomes untapped, each opponent loses 1 life. You gain life equal to the life lost this way.{2}{B}: Regenerate Servant of Tymaret.",1/3,-,,"Karl Kopinski","コモン, 神々の軍勢 (82/165) ",-
"モズのハーピー/Shrike Harpy （もずのはーぴー） ","(３)(黒)(黒)","クリーチャー — ハーピー(Harpy) ","飛行貢納２（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを２個置いてもよい。）モズのハーピーが戦場に出たとき、貢納が支払われていない場合、対戦相手１人を対象とする。そのプレイヤーはクリーチャーを１体生け贄に捧げる。","FlyingTribute 2 （As this creature enters the battlefield, an opponent of your choice may place two +1/+1 counters on it.）When Shrike Harpy enters the battlefield, if tribute wasn't paid, target opponent sacrifices a creature.",2/2,-,,"Christopher Moeller","アンコモン, 神々の軍勢 (83/165) ",-
"悪意に満ちた蘇りし者/Spiteful Returned （あくいにみちたよみがえりしもの） ","(１)(黒)","クリーチャー・エンチャント — ゾンビ(Zombie) ","授与(３)(黒)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）悪意に満ちた蘇りし者かエンチャントされているクリーチャーが攻撃するたび、防御プレイヤーは２点のライフを失う。エンチャントされているクリーチャーは+1/+1の修整を受ける。","Bestow {3}{B} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Whenever Spiteful Returned or enchanted creature attacks, defending player loses 2 life.Enchanted creature gets +1/+1.",1/1,-,,"Raymond Swanland","アンコモン, 神々の軍勢 (84/165) ",-
"モーギスの戦詠唱者/Warchanter of Mogis （もーぎすのいくさえいしょうしゃ） ","(３)(黒)(黒)","クリーチャー — ミノタウルス(Minotaur)・シャーマン(Shaman) ","神啓 ― モーギスの戦詠唱者がアンタップ状態になるたび、あなたがコントロールするクリーチャー１体を対象とする。それはターン終了時まで威嚇を得る。（威嚇を持つクリーチャーはアーティファクト・クリーチャーかそれと共通の色を持つクリーチャー以外にはブロックされない。）","Inspired --- Whenever Warchanter of Mogis becomes untapped, target creature you control gains intimidate until end of turn. （A creature with intimidate can't be blocked except by artifact creatures and/or creatures that share a color with it.）",3/3,-,,"Mike Bierek","コモン, 神々の軍勢 (85/165) ",-
"死の国の重み/Weight of the Underworld （しのくにのおもみ） ","(３)(黒)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは-3/-2の修整を受ける。","Enchant creatureEnchanted creature gets -3/-2.",-,-,,"Wesley Burt","コモン, 神々の軍勢 (86/165) ","ORI BNG "
"アクロスの徴兵人/Akroan Conscriptor （あくろすのちょうへいにん） ","(４)(赤)","クリーチャー — 人間(Human)・シャーマン(Shaman) ","英雄的 ― あなたがアクロスの徴兵人を対象とする呪文を１つ唱えるたび、他のクリーチャー１体を対象とし、ターン終了時までそれのコントロールを得る。そのクリーチャーをアンタップする。それはターン終了時まで速攻を得る。","Heroic --- Whenever you cast a spell that targets Akroan Conscriptor, gain control of another target creature until end of turn. Untap that creature. It gains haste until end of turn.",3/2,-,,"James Ryman","アンコモン, 神々の軍勢 (87/165) ",-
"攻撃の元型/Archetype of Aggression （こうげきのげんけい） ","(１)(赤)(赤)","クリーチャー・エンチャント — 人間(Human)・戦士(Warrior) ","あなたがコントロールするクリーチャーはトランプルを持つ。あなたの対戦相手がコントロールするクリーチャーはトランプルを失うとともに、トランプルを持つことも得ることもできない。","Creatures you control have trample.Creatures your opponents control lose trample and can't have or gain trample.",3/2,-,,"Mathias Kollros","アンコモン, 神々の軍勢 (88/165) ",-
"ケラノスの稲妻/Bolt of Keranos （けらのすのいなずま） ","(１)(赤)(赤)","ソーサリー ","クリーチャー１体かプレイヤー１人を対象とする。ケラノスの稲妻はそれに３点のダメージを与える。占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Bolt of Keranos deals 3 damage to target creature or player. Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"Karl Kopinski","コモン, 神々の軍勢 (89/165) ",-
"一つ目峠のサイクロプス/Cyclops of One-Eyed Pass （ひとつめとうげのさいくろぷす） ","(２)(赤)(赤)","クリーチャー — サイクロプス(Cyclops) ",,,5/2,-,,"Kev Walker","コモン, 神々の軍勢 (90/165) ",-
"天啓の嵐/Epiphany Storm （てんけいのあらし） ",(赤),"エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは「(赤),(Ｔ),カードを１枚捨てる：カードを１枚引く。」を持つ。","Enchant creatureEnchanted creature has ""{R}, {T}, Discard a card: Draw a card.""",-,-,,"Clint Cearley","コモン, 神々の軍勢 (91/165) ",-
"常炎の幻霊/Everflame Eidolon （じょうえんのげんれい） ","(１)(赤)","クリーチャー・エンチャント — スピリット(Spirit) ","授与(２)(赤)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）(赤)：常炎の幻霊はターン終了時まで+1/+0の修整を受ける。これがオーラであるなら、代わりにエンチャントされているクリーチャーはターン終了時まで+1/+0の修整を受ける。エンチャントされているクリーチャーは+1/+1の修整を受ける。","Bestow {2}{R} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）{R}: Everflame Eidolon gets +1/+0 until end of turn. If it's an Aura, enchanted creature gets +1/+0 until end of turn instead.Enchanted creature gets +1/+1.",1/1,-,,Daarken,"アンコモン, 神々の軍勢 (92/165) ",-
"槌の一撃/Fall of the Hammer （つちのいちげき） ","(１)(赤)","インスタント ","あなたがコントロールするクリーチャー１体を対象とし、他のクリーチャー１体を対象とする。その前者はその後者に、自身のパワーに等しい点数のダメージを与える。","Target creature you control deals damage equal to its power to another target creature.",-,-,,"Adam Paquette","コモン, 神々の軍勢 (93/165) ",-
"宿命的火災/Fated Conflagration （しゅくめいてきかさい） ","(１)(赤)(赤)(赤)","インスタント ","クリーチャー１体かプレインズウォーカー１体を対象とする。宿命的火災はそれに５点のダメージを与える。あなたのターンであるなら、占術２を行う。（あなたのライブラリーの一番上から２枚のカードを見て、そのうちの望む枚数のカードを望む順番であなたのライブラリーの一番下に置き、残りを望む順番で一番上に置く。）","Fated Conflagration deals 5 damage to target creature or planeswalker. If it's your turn, scry 2. （Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.）",-,-,,"Adam Paquette","レア, 神々の軍勢 (94/165) ",-
"恐るべき気質/Fearsome Temper （おそるべききしつ） ","(２)(赤)","エンチャント — オーラ(Aura) ","エンチャント（クリーチャー）エンチャントされているクリーチャーは+2/+2の修整を受けるとともに「(２)(赤)：クリーチャー１体を対象とする。このターン、それではこのクリーチャーをブロックできない。」を持つ。","Enchant creatureEnchanted creature gets +2/+2 and has ""{2}{R}: Target creature can't block this creature this turn.""",-,-,,"Seb McKinnon","コモン, 神々の軍勢 (95/165) ",-
"悪魔の皮の魂結び/Felhide Spiritbinder （あくまのかわのたましいむすび） ","(３)(赤)","クリーチャー — ミノタウルス(Minotaur)・シャーマン(Shaman) ","神啓 ― 悪魔の皮の魂結びがアンタップ状態になるたび、他のクリーチャー１体を対象とする。あなたは(１)(赤)を支払ってもよい。そうしたなら、それの他のタイプに加えてエンチャントであることを除き、それのコピーであるトークンを１体戦場に出す。そのトークンは速攻を得る。次の終了ステップの開始時に、そのトークンを追放する。","Inspired --- Whenever Felhide Spiritbinder becomes untapped, you may pay {1}{R}. If you do, put a token onto the battlefield that's a copy of another target creature except it's an enchantment in addition to its other types. It gains haste. Exile it at the beginning of the next end step.",3/4,-,,"Mathias Kollros","レア, 神々の軍勢 (96/165) ",-
"炎輪のフェニックス/Flame-Wreathed Phoenix （えんりんのふぇにっくす） ","(２)(赤)(赤)","クリーチャー — フェニックス(Phoenix) ","飛行貢納２（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを２個置いてもよい。）炎輪のフェニックスが戦場に出たとき、貢納が支払われていない場合、これは速攻と「このクリーチャーが死亡したとき、これをオーナーの手札に戻す。」を得る。","FlyingTribute 2 （As this creature enters the battlefield, an opponent of your choice may place two +1/+1 counters on it.）When Flame-Wreathed Phoenix enters the battlefield, if tribute wasn't paid, it gains haste and ""When this creature dies, return it to its owner's hand.""",3/3,-,,"James Ryman","神話レア, 神々の軍勢 (97/165) ",-
"炉焚きのドラゴン/Forgestoker Dragon （ろたきのどらごん） ","(４)(赤)(赤)","クリーチャー — ドラゴン(Dragon) ","飛行(１)(赤)：クリーチャー１体を対象とする。炉焚きのドラゴンはそれに１点のダメージを与える。この戦闘で、そのクリーチャーではブロックできない。この能力は、炉焚きのドラゴンが攻撃しているときのみ起動できる。","Flying{1}{R}: Forgestoker Dragon deals 1 damage to target creature. That creature can't block this combat. Activate this ability only if Forgestoker Dragon is attacking.",5/4,-,,"Todd Lockwood","レア, 神々の軍勢 (98/165) ",-
"性急な太陽追い/Impetuous Sunchaser （せいきゅうなたいようおい） ","(１)(赤)","クリーチャー — 人間(Human)・兵士(Soldier) ","飛行、速攻性急な太陽追いは可能なら毎ターン攻撃する。","Flying, hasteImpetuous Sunchaser attacks each turn if able.",1/1,-,,"Cynthia Sheppard","コモン, 神々の軍勢 (99/165) ",-
"クラグマの解体者/Kragma Butcher （くらぐまのかいたいしゃ） ","(２)(赤)","クリーチャー — ミノタウルス(Minotaur)・戦士(Warrior) ","神啓 ― クラグマの解体者がアンタップ状態になるたび、それはターン終了時まで+2/+0の修整を受ける。","Inspired --- Whenever Kragma Butcher becomes untapped, it gets +2/+0 until end of turn.",2/3,-,,Daarken,"コモン, 神々の軍勢 (100/165) ",-
"稲妻の流弾/Lightning Volley （いなずまのりゅうだん） ","(３)(赤)","インスタント ","あなたがコントロールするクリーチャーは、ターン終了時まで「(Ｔ)：クリーチャー１体かプレイヤー１人を対象とする。このクリーチャーはそれに１点のダメージを与える。」を得る。","Until end of turn, creatures you control gain ""{T}: This creature deals 1 damage to target creature or player.""",-,-,,"John Avon","アンコモン, 神々の軍勢 (101/165) ",-
"ニクス生まれのお調子者/Nyxborn Rollicker （にくすうまれのおちょうしもの） ",(赤),"クリーチャー・エンチャント — サテュロス(Satyr) ","授与(１)(赤)（このカードを授与コストで唱えた場合、これはエンチャント（クリーチャー）を持つオーラ(Aura)呪文である。クリーチャーにつけられていない場合、これは再びクリーチャーになる。）エンチャントされているクリーチャーは+1/+1の修整を受ける。","Bestow {1}{R} （If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.）Enchanted creature gets +1/+1.",1/1,-,,"Seb McKinnon","コモン, 神々の軍勢 (102/165) ",-
"骨の神託者/Oracle of Bones （ほねのしんたくしゃ） ","(２)(赤)(赤)","クリーチャー — ミノタウルス(Minotaur)・シャーマン(Shaman) ","速攻貢納２（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを２個置いてもよい。）骨の神託者が戦場に出たとき、貢納が支払われていない場合、あなたはあなたの手札にあるインスタント・カード１枚かソーサリー・カード１枚を、そのマナ・コストを支払うことなく唱えてもよい。","HasteTribute 2 （As this creature enters the battlefield, an opponent of your choice may place two +1/+1 counters on it.）When Oracle of Bones enters the battlefield, if tribute wasn't paid, you may cast an instant or sorcery card from your hand without paying its mana cost.",3/1,-,,"Greg Staples","レア, 神々の軍勢 (103/165) ",-
"ファラガックスの巨人/Pharagax Giant （ふぁらがっくすのきょじん） ","(４)(赤)","クリーチャー — 巨人(Giant) ","貢納２（このクリーチャーが戦場に出るに際し、あなたの望む対戦相手１人はこれの上に+1/+1カウンターを２個置いてもよい。）ファラガックスの巨人が戦場に出たとき、貢納が支払われていない場合、ファラガックスの巨人は各対戦相手にそれぞれ５点のダメージを与える。","Tribute 2 （As this creature enters the battlefield, an opponent of your choice may place two +1/+1 counters on it.）When Pharagax Giant enters the battlefield, if tribute wasn't paid, Pharagax Giant deals 5 damage to each opponent.",3/3,-,,"Ryan Pancoast","コモン, 神々の軍勢 (104/165) ",-
"憤怒の頂点/Pinnacle of Rage （ふんぬのちょうてん） ","(４)(赤)(赤)","ソーサリー ","クリーチャーやプレイヤーを２つ対象とする。憤怒の頂点はそれらにそれぞれ３点のダメージを与える。","Pinnacle of Rage deals 3 damage to each of two target creatures and/or players.",-,-,,"Noah Bradley","アンコモン, 神々の軍勢 (105/165) ",-
"無謀な歓楽者/Reckless Reveler （むぼうなかんらくしゃ） ","(１)(赤)","クリーチャー — サテュロス(Satyr) ","(赤),無謀な歓楽者を生け贄に捧げる：アーティファクト１つを対象とし、それを破壊する。","{R}, Sacrifice Reckless Reveler: Destroy target artifact.",2/1,-,,"Mike Sass","コモン, 神々の軍勢 (106/165) ",-
"難題への挑戦/Rise to the Challenge （なんだいへのちょうせん） ","(１)(赤)","インスタント ","クリーチャー１体を対象とする。それはターン終了時まで+2/+0の修整を受けるとともに先制攻撃を得る。","Target creature gets +2/+0 and gains first strike until end of turn.",-,-,,"Anthony Palumbo","コモン, 神々の軍勢 (107/165) ",-
"サテュロスの火踊り/Satyr Firedancer （さてゅろすのひおどり） ","(１)(赤)","クリーチャー・エンチャント — サテュロス(Satyr) ","あなたがコントロールするインスタント呪文１つかソーサリー呪文１つが対戦相手１人にダメージを与えるたび、そのプレイヤーがコントロールするクリーチャー１体を対象とする。サテュロスの火踊りはそれに、その点数に等しい点数のダメージを与える。","Whenever an instant or sorcery spell you control deals damage to an opponent, Satyr Firedancer deals that much damage to target creature that player controls.",1/1,-,,"Chris Rahn","レア, 神々の軍勢 (108/165) ",-
"サテュロスのニクス鍛冶/Satyr Nyx-Smith （さてゅろすのにくすかじ） ","(２)(赤)","クリーチャー — サテュロス(Satyr)・シャーマン(Shaman) ","速攻神啓 ― サテュロスのニクス鍛冶がアンタップ状態になるたび、あなたは(２)(赤)を支払ってもよい。そうしたなら、速攻を持つ赤の3/1のエレメンタル(Elemental)・クリーチャー・エンチャント・トークンを１体戦場に出す。","HasteInspired --- Whenever Satyr Nyx-Smith becomes untapped, you may pay {2}{R}. If you do, put a 3/1 red Elemental enchantment creature token with haste onto the battlefield.",2/1,-,,"Greg Staples","アンコモン, 神々の軍勢 (109/165) ",-
"洗い流す砂/Scouring Sands （あらいながすすな） ","(１)(赤)","ソーサリー ","洗い流す砂は、あなたの対戦相手がコントロールする各クリーチャーに、それぞれ１点のダメージを与える。占術１を行う。（あなたのライブラリーの一番上のカードを見る。あなたはそのカードをあなたのライブラリーの一番下に置いてもよい。）","Scouring Sands deals 1 damage to each creature your opponents control. Scry 1. （Look at the top card of your library. You may put that card on the bottom of your library.）",-,-,,"Jonas De Ro","コモン, 神々の軍勢 (110/165) ",-
